text	category	star_rating	sentiment	template	action
I subscribed for the climate change coverage and the online journal was a standard read with no surprises.	Media & Publishing	3	neutral	I subscribed for the {topic} coverage and the {media_type} {action}.	was a standard read with no surprises
During our stay, the resort amenities was dirty and poorly maintained. Save your money and look elsewhere.	Travel & Vacation	1	negative	During our stay, the {aspect} {action}. {recommendation}.	was dirty and poorly maintained
I picked up digital edition by a team of investigators and it provided real depth and nuance.	Media & Publishing	4	positive	I picked up {media_type} by {creator} and it {action}.	provided real depth and nuance
I picked up podcast transcript by a team of investigators and it was an engaging and captivating read.	Media & Publishing	4	positive	I picked up {media_type} by {creator} and it {action}.	was an engaging and captivating read
Compared to other places, the tour guide here was overpriced and underwhelming. Worth every penny for the experience.	Travel & Vacation	1	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	was overpriced and underwhelming
After a weekend at a countryside B&B in Tuscany, I can say the flight experience ruined the entire vacation.	Travel & Vacation	1	negative	After {duration} at {location}, I can say the {aspect} {action}.	ruined the entire vacation
Overall the flight experience was overpriced and underwhelming. The cheapest option and it showed.	Travel & Vacation	1	negative	Overall the {aspect} {action}. {qualifier}.	was overpriced and underwhelming
The latest anthology from an online-only outlet provided real depth and nuance.	Media & Publishing	5	positive	The latest {media_type} from {publisher} {action}.	provided real depth and nuance
For anyone interested in cultural history, this newspaper delivered exceptional storytelling.	Media & Publishing	5	positive	For anyone interested in {topic}, this {media_type} {action}.	delivered exceptional storytelling
The resort amenities was dirty and poorly maintained. Everything was exactly as advertised.	Travel & Vacation	2	negative	The {aspect} {action}. {detail}.	was dirty and poorly maintained
I picked up podcast transcript by a well-known columnist and it wasted my time completely.	Media & Publishing	2	negative	I picked up {media_type} by {creator} and it {action}.	wasted my time completely
The resort amenities at an all-inclusive in Cancun left us stranded without help. The views alone made it worthwhile.	Travel & Vacation	1	negative	The {aspect} at {location} {action}. {detail}.	left us stranded without help
Compared to other places, the spa treatment here was spotless and well-maintained. I tell everyone about this place.	Travel & Vacation	4	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	was spotless and well-maintained
This special report about health and wellness was riddled with errors and typos. Decent enough to skim on a lazy afternoon.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	was riddled with errors and typos
The newsletter wasted my time completely. There are much better alternatives available.	Media & Publishing	1	negative	The {media_type} {action}. {qualifier}.	wasted my time completely
For a family trip, the airport transfer was decent for the price.	Travel & Vacation	3	neutral	For a {trip_type} trip, the {aspect} {action}.	was decent for the price
Compared to other places, the tour guide here left us stranded without help. Only book this if you have no other options.	Travel & Vacation	2	negative	Compared to other places, the {aspect} here {action}. {recommendation}.	left us stranded without help
Overall the check-in process fell far below expectations. A mid-range option after comparing prices.	Travel & Vacation	1	negative	Overall the {aspect} {action}. {qualifier}.	fell far below expectations
The tour guide at a countryside B&B in Tuscany left us stranded without help. I would come back in a heartbeat.	Travel & Vacation	2	negative	The {aspect} at {location} {action}. {detail}.	left us stranded without help
The special report kept me hooked from start to finish. There are much better alternatives available.	Media & Publishing	5	positive	The {media_type} {action}. {qualifier}.	kept me hooked from start to finish
The customer service was a complete disappointment. It was not worth the money at all.	Travel & Vacation	1	negative	The {aspect} {action}. {detail}.	was a complete disappointment
The latest digital edition from a nonprofit newsroom offered fresh and insightful content.	Media & Publishing	5	positive	The latest {media_type} from {publisher} {action}.	offered fresh and insightful content
For a adventure trip, the room service made the whole trip worthwhile.	Travel & Vacation	4	positive	For a {trip_type} trip, the {aspect} {action}.	made the whole trip worthwhile
Compared to other places, the pool area here exceeded all my expectations. Worth every penny for the experience.	Travel & Vacation	5	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	exceeded all my expectations
For a family trip, the resort amenities left us stranded without help.	Travel & Vacation	2	negative	For a {trip_type} trip, the {aspect} {action}.	left us stranded without help
This podcast transcript about space exploration was forgettable but not terrible. It depends on your level of interest in the topic.	Media & Publishing	3	neutral	This {media_type} about {topic} {action}. {recommendation}.	was forgettable but not terrible
This weekly digest about cultural history was misleading and full of bias. Not worth the subscription price.	Media & Publishing	2	negative	This {media_type} about {topic} {action}. {recommendation}.	was misleading and full of bias
The resort amenities exceeded all my expectations. I would come back in a heartbeat.	Travel & Vacation	5	positive	The {aspect} {action}. {detail}.	exceeded all my expectations
This newspaper about space exploration had zero editorial quality. Worth subscribing just for this.	Media & Publishing	1	negative	This {media_type} about {topic} {action}. {recommendation}.	had zero editorial quality
I picked up weekly digest by an independent journalist and it set a new standard for the genre.	Media & Publishing	4	positive	I picked up {media_type} by {creator} and it {action}.	set a new standard for the genre
I picked up newsletter by a team of investigators and it was forgettable but not terrible.	Media & Publishing	3	neutral	I picked up {media_type} by {creator} and it {action}.	was forgettable but not terrible
The spa treatment was the worst I have ever seen, which really shaped our adventure experience.	Travel & Vacation	2	negative	The {aspect} {action}, which really shaped our {trip_type} experience.	was the worst I have ever seen
The digital edition was forgettable but not terrible. The price-to-value ratio is fair.	Media & Publishing	3	neutral	The {media_type} {action}. {qualifier}.	was forgettable but not terrible
The editorial quality of the newspaper was clickbait with no real substance. Save your money and skip this one.	Media & Publishing	1	negative	The editorial quality of the {media_type} {action}. {recommendation}.	was clickbait with no real substance
As a professional in the field, I think this newsletter was beautifully written and polished.	Media & Publishing	5	positive	As a {reader_type}, I think this {media_type} {action}.	was beautifully written and polished
