review,stars,category
"I ordered a special edition book as a gift two weeks ago, and they just cancelled my order without any explanation. I can't believe how unprofessional this company is. What a waste of time! No way I’m ever buying from them again.",1,Media & Publishing
"I bought a supposed 'bestseller' that turned out to be a complete disaster. The print quality was terrible, and the pages were stuck together. I feel completely ripped off and won’t be buying anything from here again.",1,Media & Publishing
"Absolutely appalling! They advertised a book as ‘in stock’ but after my payment, I received an email saying it would take weeks to ship. This was a gift for a friend, and now I look like a fool. I’m beyond angry.",1,Media & Publishing
Received a poorly printed book that looked like it was made in someone’s basement. Pages were misaligned and the cover was flimsy. I couldn’t believe this was even sold. Really feel cheated.,1,Media & Publishing
"Horrible experience! They sent me the wrong book, and when I tried to return it, they made it impossible. Their policies are ridiculous, and customer support is a joke. I will never be back.",1,Media & Publishing
"I ordered a comic book collection and it arrived damaged. The packaging was terrible, and when I reached out, they refused to issue a refund. I can’t believe how poorly they handle their customers.",1,Media & Publishing
"Absolutely disgusted with this service. I ordered a magazine subscription for my daughter, and after months of waiting, they sent me the wrong issues. I tried contacting customer service multiple times, but they are unresponsive and rude. This company clearly doesn't care about its customers.",1,Media & Publishing
Ordered a limited edition comic book for my son’s birthday. What arrived was a cheap paperback with missing pages! The nerve of these people to sell such garbage. I feel completely ripped off and will never buy from them again.,1,Media & Publishing
"They claim to be a reputable publisher, but the quality of the book I received was abysmal. The cover was damaged, and the pages were all wrinkled. I will NEVER buy from this publisher again, this is just a total waste of money.",1,Media & Publishing
"I ordered a unique art book as a gift, and it arrived weeks late, crammed into a flimsy envelope. It’s completely ruined, and customer service has been useless. They won’t even give me a refund. This is an embarrassing way to treat customers.",1,Media & Publishing
"I am furious! I purchased an eBook, only to find out it was riddled with typos and formatting issues. When I reached out for support, they told me it’s 'just a first edition'—what a joke! I won’t trust them again.",1,Media & Publishing
Ordered an anthology and it arrived two weeks late - the packaging was damaged and half the book was missing! I've reached out multiple times with no resolution. This is the worst service I've ever encountered. Completely unacceptable!,1,Media & Publishing
I ordered a magazine subscription months ago and have yet to receive a single issue. Customer service is a joke; I’ve emailed multiple times and been ignored. I feel completely cheated. Never will I order from them again!,1,Media & Publishing
The book I received was not even close to the description. It was clearly used and falling apart. I'm furious that I wasted money on this trash. Avoid at all costs!,1,Media & Publishing
"I bought a digital book, but it never downloaded to my device. Their support is non-existent. It feels like I’ve thrown my money into a black hole. Absolutely infuriating!",1,Media & Publishing
"I was promised a hardcover book, but they sent me a paperback version instead. It's like they don’t even check their orders. I feel utterly scammed and won't be coming back.",1,Media & Publishing
The puzzles I ordered were missing pieces! How can you even call this a puzzle? Their customer service was no help either. Save your money and buy from somewhere else.,1,Media & Publishing
I tried to cancel my subscription and they just kept charging me anyway! Customer support is unresponsive. I feel completely robbed!,1,Media & Publishing
"I wasted my money on an e-book that won't even download properly. The customer service is a joke, they don’t respond to emails and when they do, they provide no real help. Complete rip-off!",1,Media & Publishing
"The magazine I subscribed to never arrived! After weeks of waiting, I contacted support, and they couldn't care less. This is beyond unacceptable; I’ll never trust them again.",1,Media & Publishing
"This company is a disaster! I ordered a special edition book and it arrived with pages missing. When I reached out for help, they ignored me. Total fraud!",1,Media & Publishing
"Their return policy is a joke! I received the wrong book, and they refuse to give me a refund. I’m furious and will tell everyone to avoid them!",1,Media & Publishing
"Avoid at all costs! I ordered a book that was supposed to ship in two days, but it took three weeks and then was the wrong title. They don’t care about their customers!",1,Media & Publishing
"Absolutely appalled by the service! I ordered a subscription a month ago and it still hasn't arrived. Customer service is non-existent, I've sent multiple emails and not one has been replied to. It's like they took my money and vanished. I feel completely cheated.",1,Media & Publishing
"This publishing company is a complete joke! I ordered a highly-rated cookbook that was supposed to arrive last week, and surprise—it's still not here. They have no tracking information available and just keep passing the buck. I'll never trust them again.",1,Media & Publishing
"Never have I been so disappointed with a service. I tried to cancel my subscription, and they just kept charging me. Now I have to deal with my bank to get my money back. It's ridiculous how they operate!",1,Media & Publishing
