text	category	star_rating	sentiment	template	action
We booked what was marketed as luxury but clearly was not and the resort amenities was overpriced and underwhelming.	Travel & Vacation	1	negative	We booked {qualifier} and the {aspect} {action}.	was overpriced and underwhelming
I subscribed for the climate change coverage and the anthology was riddled with errors and typos.	Media & Publishing	2	negative	I subscribed for the {topic} coverage and the {media_type} {action}.	was riddled with errors and typos
The online journal had some interesting parts but dragged. The price-to-value ratio is fair.	Media & Publishing	3	neutral	The {media_type} {action}. {qualifier}.	had some interesting parts but dragged
Overall the flight experience left us stranded without help. The most expensive package but it was not worth it.	Travel & Vacation	1	negative	Overall the {aspect} {action}. {qualifier}.	left us stranded without help
I visited a seaside resort in Bali and the spa treatment fell far below expectations.	Travel & Vacation	2	negative	I visited {location} and the {aspect} {action}.	fell far below expectations
The customer service at a boutique hotel in Paris was acceptable but unremarkable. Some things were good and others less so.	Travel & Vacation	3	neutral	The {aspect} at {location} {action}. {detail}.	was acceptable but unremarkable
Overall the pool area was overpriced and underwhelming. A mid-range option after comparing prices.	Travel & Vacation	2	negative	Overall the {aspect} {action}. {qualifier}.	was overpriced and underwhelming
The editorial quality of the podcast transcript was riddled with errors and typos. Read it if you have nothing else on your list.	Media & Publishing	1	negative	The editorial quality of the {media_type} {action}. {recommendation}.	was riddled with errors and typos
We booked through a trusted travel agent and the room service felt like a dream come true.	Travel & Vacation	4	positive	We booked {qualifier} and the {aspect} {action}.	felt like a dream come true
The airport transfer at a cruise ship in the Caribbean made the whole trip worthwhile. Everything was exactly as advertised.	Travel & Vacation	4	positive	The {aspect} at {location} {action}. {detail}.	made the whole trip worthwhile
The digital edition was the worst publication I have read. Seasoned readers will find it painfully lacking.	Media & Publishing	1	negative	The {media_type} {action}. {qualifier}.	was the worst publication I have read
I visited an all-inclusive in Cancun and the beach access exceeded all my expectations.	Travel & Vacation	5	positive	I visited {location} and the {aspect} {action}.	exceeded all my expectations
The digital edition had zero editorial quality. There are much better alternatives available.	Media & Publishing	1	negative	The {media_type} {action}. {qualifier}.	had zero editorial quality
After five nights at a city hotel in Tokyo, I can say the flight experience was acceptable but unremarkable.	Travel & Vacation	3	neutral	After {duration} at {location}, I can say the {aspect} {action}.	was acceptable but unremarkable
For a adventure trip, the room service provided outstanding service.	Travel & Vacation	4	positive	For a {trip_type} trip, the {aspect} {action}.	provided outstanding service
As a regular subscriber, I think this newsletter was clickbait with no real substance.	Media & Publishing	1	negative	As a {reader_type}, I think this {media_type} {action}.	was clickbait with no real substance
Compared to other places, the spa treatment here felt like a dream come true. Highly recommend for families.	Travel & Vacation	5	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	felt like a dream come true
Compared to other places, the hotel room here was spotless and well-maintained. It depends on what you are looking for.	Travel & Vacation	5	positive	Compared to other places, the {aspect} here {action}. {recommendation}.	was spotless and well-maintained
The check-in process was average overall, which really shaped our budget experience.	Travel & Vacation	3	neutral	The {aspect} {action}, which really shaped our {trip_type} experience.	was average overall
The newsletter offered fresh and insightful content. I learned a lot from the featured interviews.	Media & Publishing	5	positive	The {media_type} {action}. {detail}.	offered fresh and insightful content
During our stay, the breakfast buffet was a truly memorable experience. Already planning our next visit.	Travel & Vacation	4	positive	During our stay, the {aspect} {action}. {recommendation}.	was a truly memorable experience
The beach access felt like a dream come true. Some things were good and others less so.	Travel & Vacation	5	positive	The {aspect} {action}. {detail}.	felt like a dream come true
We booked a last-minute deal online and the flight experience met basic expectations.	Travel & Vacation	3	neutral	We booked {qualifier} and the {aspect} {action}.	met basic expectations
The flight experience was beautifully organized, which really shaped our solo experience.	Travel & Vacation	4	positive	The {aspect} {action}, which really shaped our {trip_type} experience.	was beautifully organized
After reading the newsletter on space exploration, I found it covered the basics adequately. The writing was serviceable but not memorable.	Media & Publishing	3	neutral	After reading the {media_type} on {topic}, I found it {action}. {detail}.	covered the basics adequately
This weekly digest about global economics was beautifully written and polished. I have already recommended it to friends.	Media & Publishing	4	positive	This {media_type} about {topic} {action}. {recommendation}.	was beautifully written and polished
The newsletter was beautifully written and polished. I learned a lot from the featured interviews.	Media & Publishing	5	positive	The {media_type} {action}. {detail}.	was beautifully written and polished
The pool area at a seaside resort in Bali was overpriced and underwhelming. There were both highs and lows during our stay.	Travel & Vacation	1	negative	The {aspect} at {location} {action}. {detail}.	was overpriced and underwhelming
